Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2023-01-03,235.7117156982422,241.78209237051,233.56690642131554,239.15520429761872,25740000
2023-01-04,225.4009246826172,229.11004291520683,222.31162417160007,228.52957274245693,50623400
2023-01-05,218.72056579589844,223.87596581760184,218.17944312939204,223.53161093552876,39585600
2023-01-06,221.29823303222656,222.11483350618235,215.80834191501188,219.399402361249,43613600
2023-01-09,223.45289611816406,227.50638445182588,222.75436824625874,222.79371579734973,27369800
2023-01-10,225.15496826171875,227.5752404191146,223.65950614856146,224.08255611441774,27033900
2023-01-11,231.9632110595703,232.14029753488452,227.37844881914944,227.55553529446362,28669300
2023-01-12,234.65895080566406,236.02650690774627,229.78887778097805,231.46142614136096,27269500
2023-01-13,235.36734008789062,235.50507901922853,231.12693261696938,233.17335032000213,21333300
2023-01-17,236.4692840576172,237.02023982375786,233.2619108280689,234.12770703910064,29831300
2023-01-18,232.00257873535156,238.46650586867912,231.71726771845104,237.6695866357853,30028700
2023-01-19,228.18521118164062,231.71725783452027,226.9553938963196,230.00534676888293,28623000
2023-01-20,236.3413848876953,236.85299311880186,230.72357251730264,231.06792738702072,35389800
2023-01-23,238.6632537841797,241.2114314930767,235.7805543777998,237.2071543808696,31934000
2023-01-24,238.1320037841797,240.01116843427755,236.5578464694393,238.58458320727476,40234400
2023-01-25,236.72508239746094,239.3716517336312,227.1718546280861,230.6940533159615,66526600
2023-01-26,243.9957733154297,244.30076563008686,238.09264976747573,239.71600273819527,33454500
2023-01-27,244.15318298339844,245.79621716500495,242.8446555187233,244.96978350702662,26498900
2023-01-30,238.79116821289062,241.63450516356798,238.28939315473593,240.56209308604045,25867400
2023-01-31,243.808837890625,243.94657683914144,239.0273072315265,239.519234192288,26541100
2023-02-01,248.6690673828125,251.05982509768327,241.5066123600795,243.99576146760634,31259900
2023-02-02,260.3277282714844,260.4162715128124,253.0963966480028,254.64105436023115,39940400
2023-02-03,254.1786651611328,259.93421657373966,252.94884776633813,255.34945372296445,29077300
2023-02-06,252.62413024902344,254.1294253669874,250.6662707885229,253.28332550812183,22518000
2023-02-07,263.2398986816406,264.430353274804,255.8806620537984,256.3234082373286,50841400
2023-02-08,262.42333984375,272.2913924433007,261.9117166421838,268.7888752510765,54686000
2023-02-09,259.36358642578125,269.55632946886436,258.55681894059774,269.37921293015586,42375100
2023-02-10,258.8519592285156,259.8259649519676,256.45135338348246,257.30730144649624,25818500
2023-02-13,266.9393005371094,270.16634077104914,262.8366157457899,263.318724669732,44630900
2023-02-14,267.7754821777344,270.53026060431904,264.9321304938372,268.26740904139825,37047900
2023-02-15,265.63519287109375,267.02590497768625,262.5381396478936,264.6488747898258,28922400
2023-02-16,258.56329345703125,263.09049009144866,258.3167139229124,260.4077035562338,29603600
2023-02-17,254.5292510986328,256.53147567397895,252.49743818375117,255.84107105146936,30000100
2023-02-21,249.21299743652344,251.9944217573943,248.14777206151032,250.99823082473256,28397400
2023-02-22,248.06887817382812,250.86016040830225,246.914887717883,250.61358086515105,22491100
2023-02-23,251.28427124023438,253.32594191932378,247.0529580842625,252.06345593176604,29219100
2023-02-24,245.81021118164062,247.56585628917176,244.70553966679515,246.54009203253247,24990900
2023-02-27,246.73733520507812,249.36094491732896,245.97786606731717,249.00586980552043,21190000
2023-02-28,246.00747680664062,248.0491626479555,245.32691485953566,245.66227447623933,22491000
2023-03-01,242.9005889892578,247.49682039467623,242.42714541400443,247.32914810553203,27565300
2023-03-02,247.6743621826172,247.96038783673535,242.24961211812996,243.17675362806392,24808200
2023-03-03,251.79714965820312,252.1226364482334,247.95051495788212,248.73957247462036,30760100
2023-03-06,253.35552978515625,256.56106366398126,252.47770726341727,252.92154740586594,24109800
2023-03-07,250.67276000976562,254.16433480309476,249.92316360923053,252.7933380816872,21473200
2023-03-08,250.22889709472656,251.05740068054592,247.3784384089754,250.56424163422204,17340200
2023-03-09,248.86781311035156,256.00874717926183,248.13793223119978,252.31992677792528,26653400
2023-03-10,245.18882751464844,249.33136077212063,244.212382169328,247.64476514837403,28333900
2023-03-13,250.44590759277344,254.38132250393278,242.36795938303734,244.0151089187801,33339700
2023-03-14,257.2219543457031,257.4981222619013,252.35939736759877,253.23722004051925,33620300
2023-03-15,261.8083190917969,262.83409850139134,255.6635455488037,256.42302986650344,46028000
2023-03-16,272.4211120605469,272.77617218170525,259.6778670559726,261.5814540500635,54768800
2023-03-17,275.6068420410156,279.4534763679057,272.5394073918923,274.4528667929675,69527400
2023-03-20,268.50537109375,273.6835408081574,266.15792934054593,273.19038178773764,43466600
2023-03-21,270.0341796875,271.2374890246291,265.83245477095994,271.1191356636067,34558700
2023-03-22,268.5645751953125,277.19485893402447,268.4560645477188,269.6593738844323,34873300
2023-03-23,273.861083984375,277.2145594642809,271.4347499153896,274.1372518450722,36610900
2023-03-24,276.73126220703125,276.79043888196287,271.5136313002802,273.44680624813554,28172000
2023-03-27,272.5986022949219,277.60908501730165,271.7503530737867,276.66222806583613,26840200
2023-03-28,271.46435546875,272.36190859794345,268.32784087331277,272.0166912251704,21878600
2023-03-29,276.672119140625,277.29350440292745,274.6008449662974,275.1433079190786,25087000
2023-03-30,280.1636657714844,280.56805983553204,277.62885093593184,280.34122591914473,25053400
2023-03-31,284.35552978515625,285.31225965919066,279.12805527757234,279.8480784116538,32766000
2023-04-03,283.3001708984375,284.32592009457954,280.0650485951288,282.5998633452524,24883300
2023-04-04,283.2508544921875,286.4761342820592,281.7615344727472,283.3001884623943,25824300
2023-04-05,280.44964599609375,283.2211970642067,279.0490913446103,281.9389957522812,22064800
2023-04-06,287.6103820800781,288.0837955338459,278.17131004504324,279.33515825227767,29770300
2023-04-10,285.4306335449219,285.6377519354261,280.8146415705329,285.2530733958761,23103000
2023-04-11,278.96038818359375,282.0673148711929,277.7866971127785,281.84045082891004,27276600
2023-04-12,279.611328125,283.0831873442445,278.10226253028486,280.8935598048498,27403400
2023-04-13,285.87445068359375,285.93362736494225,279.29572544000456,279.70996220944426,24222700
2023-04-14,282.22509765625,284.53307857876393,279.8086060822283,283.0733168405744,20987900
2023-04-17,284.8486633300781,287.61037214853826,282.24479912414546,285.9632076307391,23836200
2023-04-18,284.4245300292969,287.768162652318,283.08315193513107,287.58075981562746,20161800
2023-04-19,284.50347900390625,285.0952458067938,280.646971471538,282.077114711904,17150300
2023-04-20,282.1954650878906,285.0755272649931,281.1795586202905,281.347245946029,23244400
2023-04-21,281.85028076171875,282.35328254409745,279.18720974896235,281.11054215817984,21676400
2023-04-24,277.9148254394531,281.0513397068863,274.90656743425353,278.2304544386979,26611000
2023-04-25,271.6517639160156,277.74720298912615,271.60242994743777,275.685801623626,45772200
2023-04-26,291.3287658691406,295.47131383656125,288.7249017953635,292.6405857688407,64599200
2023-04-27,300.6593933105469,301.02435636457244,291.21047726679103,291.92062764482193,46462600
2023-04-28,303.0561218261719,304.7032562666543,299.16015312675654,299.8505878659069,36446700
2023-05-01,301.3793640136719,304.3777795431425,300.97496997022023,302.77007618260353,21294100
